samples,cost,reduced_scenario,probability
247,495271576.2881515,78.0,0.0
248,481782291.5949602,423.0,0.0
249,462937710.7098765,4.0,0.0
250,482225132.8585632,423.0,0.0
251,464177124.6473746,4.0,0.0
252,476988409.7913105,430.0,0.0
253,483638546.2252466,147.0,0.0
254,461028334.09797436,320.0,0.0
255,481062591.4944651,423.0,0.0
256,480397874.39820665,423.0,0.0
257,474630388.4721861,206.0,0.0
258,463794985.9302509,4.0,0.0
259,450132126.39679235,187.0,0.0
260,499910650.4224784,78.0,0.0
261,471751172.10315365,275.0,0.0
262,496360974.97190964,78.0,0.0
263,463452276.39338094,4.0,0.0
264,488388418.2627723,491.0,0.0
265,500139370.41849744,78.0,0.0
266,472695209.420865,275.0,0.0
267,470580770.8524163,35.0,0.0
268,505537229.9951675,218.0,0.0
269,460935899.77475196,320.0,0.0
270,481483071.368256,423.0,0.0
271,474268049.55093455,206.0,0.0
272,474456748.851542,206.0,0.0
273,492957337.5601234,491.0,0.0
274,461833912.9592178,320.0,0.0
275,472199093.7434015,275.0,0.06200000000000001
276,456236538.9174633,221.0,0.0
277,498527261.7467804,78.0,0.0
278,450517502.34296876,187.0,0.0
279,491195453.14142334,491.0,0.0
280,452679642.2674845,187.0,0.0
281,498691396.09977025,78.0,0.0
282,464412925.57981503,4.0,0.0
283,475233337.1959756,206.0,0.0
284,460223395.356567,320.0,0.0
285,452085210.5972133,187.0,0.0
286,471067212.98230654,35.0,0.0
287,476803961.46001875,430.0,0.0
288,471307682.33809745,35.0,0.0
289,460136992.7922335,320.0,0.0
290,492716774.7411855,491.0,0.0
291,468655900.4823504,391.0,0.0
292,457176476.75015444,221.0,0.0
293,471156549.2297078,35.0,0.0
294,454732983.12478316,221.0,0.0
295,457884825.4904903,221.0,0.0
296,466444449.81660974,144.0,0.0
297,468285108.69889873,391.0,0.0
298,451762647.8430313,187.0,0.0
299,478895608.9142862,430.0,0.0
300,478652670.2435936,430.0,0.0
301,444082516.2961531,51.0,0.0
302,481534606.6806852,423.0,0.0
303,464570602.15538,4.0,0.0
304,473722254.414572,206.0,0.0
305,463707743.5908364,4.0,0.0
306,488851789.4731132,491.0,0.0
307,464383816.0051975,4.0,0.0
308,484655666.66555494,147.0,0.0
309,461654696.63932115,320.0,0.0
310,464575273.62099147,4.0,0.0
311,478202520.34743905,430.0,0.0
312,497112692.3658942,78.0,0.0
313,491941772.90946656,491.0,0.0
314,483867000.35859054,147.0,0.0
315,478069833.6129269,430.0,0.0
316,484544567.9663874,147.0,0.0
317,472389757.37908816,275.0,0.0
318,464374328.4396213,4.0,0.0
319,471676494.9493672,275.0,0.0
320,460362533.3322638,320.0,0.07800000000000001
321,461135759.32803905,320.0,0.0
322,454498835.0586153,187.0,0.0
323,486437073.1441976,147.0,0.0
324,454435464.2395421,187.0,0.0
325,483120601.99279076,423.0,0.0
326,479837012.2505236,430.0,0.0
327,460467461.7120429,320.0,0.0
